1500,1512
151704,151720
301948,301960
452188,452200
602428,602440
752672,752684
902904,902920
1053144,1053160
1203384,1203400
1353628,1353640
1503868,1503880
1654108,1654120
1804352,1804364
1954584,1954600
2104824,2104840
2255064,2255080
2405308,2405320
2555548,2555560
2705788,2705800
2856032,2856044
3006304,3006316
3156504,3156520
3306744,3306760
3456984,3457000
3607228,3607240
3757464,3757480
3907712,3907724
4057948,4057960
4208184,4208200
4358428,4358440
4508668,4508684
4658904,4658920
4809148,4809160
4959384,4959400
5109624,5109640
5259868,5259880
5410104,5410120
5560352,5560364
5710588,5710600
5860824,5860840
6011104,6011116
6161308,6161320
6311544,6311560
6461788,6461800
6612032,6612044
6762264,6762280
6912504,6912520
7062744,7062760
7212988,7213000
7363228,7363240
