start	end
1688	1720
1724	1756
1760	1788
1796	1824
1832	1856
1864	1888
1892	1916
1924	1944
51696	51728
51732	51764
51768	51800
51804	51832
51840	51864
51872	51896
51900	51924
51932	51952
101776	101808
101812	101844
101848	101880
101884	101912
101920	101944
101952	101976
101980	102004
102012	102032
151856	151888
151892	151924
151928	151960
151964	151992
152000	152024
152032	152056
152060	152084
152092	152112
201936	201968
201972	202004
202008	202040
202044	202072
202080	202104
202112	202136
202140	202164
202172	202192
252020	252052
252060	252088
252096	252124
252132	252160
252164	252192
252196	252220
252228	252252
252256	252280
302100	302132
302140	302168
