start	end
2540	2580
2588	2624
2632	2668
2676	2712
2720	2752
2760	2792
2800	2832
2840	2868
2876	2904
2908	2936
2944	2968
2976	3000
3008	3028
3036	3056
47492	47532
47540	47576
47584	47620
47628	47664
47672	47704
47712	47744
47752	47784
47792	47820
47828	47856
47864	47888
47896	47924
47928	47952
47960	47984
47988	48012
97572	97612
97616	97656
97664	97700
97708	97744
97752	97784
97792	97824
97832	97864
97872	97900
97908	97936
97944	97968
97976	98004
98008	98032
98040	98064
98068	98092
147656	147696
147704	147744
147748	147788
147796	147832
147836	147872
147880	147912
147920	147948
147956	147988
