start	end
1560	1588
1596	1624
1632	1656
1664	1688
1696	1720
1728	1748
1756	1776
51564	51596
51600	51632
51636	51664
51672	51696
51704	51728
51736	51756
51764	51784
101644	101676
101680	101712
101716	101744
101752	101776
101784	101808
101816	101836
101844	101864
151724	151756
151760	151792
151796	151824
151832	151856
151864	151888
151896	151916
151924	151944
201812	201840
201848	201876
201884	201912
201916	201944
201948	201972
201980	202004
202008	202032
251884	251920
251928	251956
251964	251992
251996	252024
252028	252052
252060	252084
252088	252112
301964	301996
302000	302032
302036	302064
302072	302104
302108	302132
302140	302164
302168	302192
352044	352076
