start	end
1948	1980
1988	2020
2028	2064
2072	2100
2108	2136
2144	2172
2176	2204
2208	2232
2240	2264
2268	2292
51956	51992
52000	52032
52040	52072
52076	52108
52112	52144
52148	52176
52184	52208
52216	52244
52252	52276
52280	52304
102036	102072
102080	102112
102120	102152
102156	102188
102192	102224
102228	102256
102264	102288
102296	102320
102324	102348
102356	102376
152116	152152
152160	152192
152200	152232
152236	152268
152272	152304
152308	152336
152344	152368
152376	152400
152404	152428
152436	152456
202196	202232
202240	202272
202280	202312
202316	202348
202352	202384
202388	202416
202424	202448
202456	202480
202484	202508
202516	202536
