start	end
932	952
960	980
50936	50960
50968	50988
101016	101040
101048	101068
151096	151120
151128	151148
201176	201200
201208	201228
251256	251280
251288	251308
301336	301360
301368	301388
351416	351440
351448	351468
401496	401520
401528	401548
451576	451608
451612	451636
501656	501680
501688	501708
551736	551760
551768	551788
601816	601840
601848	601868
651896	651920
651928	651948
701976	702000
702008	702028
752056	752080
752088	752108
802136	802160
802168	802188
852216	852240
852248	852268
902296	902320
902328	902348
952376	952400
952408	952428
1002456	1002480
1002488	1002516
1052536	1052560
1052568	1052588
1102616	1102640
1102648	1102668
1152696	1152720
1152728	1152748
1202776	1202800
1202808	1202828
