start	end
2400	2440
2448	2484
2492	2528
2532	2568
2576	2608
2616	2648
2652	2684
2688	2720
2724	2752
2760	2784
2792	2816
2820	2844
2852	2872
47368	47408
47416	47452
47460	47496
47504	47536
47544	47576
47584	47616
47620	47652
47660	47688
47692	47720
47728	47752
47760	47784
47792	47812
47820	47840
97456	97496
97500	97540
97544	97580
97588	97624
97628	97664
97668	97700
97708	97740
97744	97772
97780	97808
97812	97840
97848	97872
97876	97900
97908	97928
147536	147576
147580	147620
147624	147660
147668	147704
147708	147744
147748	147780
147788	147820
147824	147852
147860	147888
147892	147920
147928	147952
