start	end
1056	1080
1088	1112
1116	1140
51060	51084
51092	51116
51120	51140
101140	101164
101172	101196
101200	101220
151220	151244
151252	151276
151280	151300
201300	201324
201332	201356
201360	201380
251380	251404
251412	251436
251440	251460
301460	301484
301492	301516
301520	301540
351540	351564
351572	351596
351600	351620
401620	401644
401652	401676
401680	401700
451700	451724
451732	451756
451760	451780
501788	501812
501816	501840
501848	501868
551860	551884
551892	551916
551920	551948
601940	601964
601972	601996
602000	602020
652020	652044
652052	652076
652080	652100
702100	702124
702132	702156
702160	702180
752180	752204
752212	752236
752240	752260
802260	802284
802292	802316
