start	end
1176	1204
1212	1236
1240	1264
1272	1292
101264	101292
101296	101320
101328	101352
101356	101384
201424	201452
201456	201480
201488	201512
201516	201540
301584	301612
301616	301640
301648	301672
301676	301700
401744	401772
401776	401800
401808	401832
401836	401860
501904	501932
501936	501960
501968	501992
501996	502020
602064	602092
602096	602128
602132	602156
602164	602184
702224	702252
702256	702280
702288	702312
702316	702340
802384	802412
802416	802440
802448	802472
802476	802500
902544	902572
902576	902600
902608	902632
902636	902660
1002704	1002732
1002736	1002760
1002768	1002792
1002796	1002820
1102872	1102896
1102904	1102928
1102932	1102956
1102964	1102984
1203024	1203052
1203056	1203080
