start	end
812	832
50816	50836
100896	100916
150976	150996
201056	201076
251136	251156
301216	301236
351296	351316
401376	401396
451456	451476
501536	501556
551616	551636
601696	601716
651776	651796
701856	701876
751936	751956
802016	802036
852096	852116
902184	902204
952256	952276
1002336	1002356
1052416	1052436
1102496	1102516
1152576	1152596
1202656	1202676
1252736	1252756
1302816	1302836
1352896	1352916
1402976	1402996
1453064	1453084
1503136	1503156
1553216	1553236
1603296	1603316
1653376	1653396
1703456	1703476
1753536	1753556
1803616	1803636
1853696	1853716
1903776	1903796
1953856	1953876
2003936	2003956
2054016	2054036
2104096	2104116
2154176	2154196
2204256	2204276
2254336	2254356
2304416	2304436
2354496	2354516
2404576	2404596
2454656	2454676
