start	end
1816	1848
1856	1888
1892	1924
1932	1960
1964	1992
2000	2024
2032	2060
2068	2092
2096	2120
51824	51860
51864	51896
51904	51932
51940	51968
51976	52004
52008	52036
52040	52064
52072	52096
52100	52124
101904	101940
101944	101976
101984	102012
102020	102048
102056	102084
102088	102116
102120	102144
102152	102176
102180	102204
151984	152020
152024	152056
152064	152092
152100	152128
152136	152164
152168	152196
152200	152224
152232	152256
152260	152284
202064	202100
202104	202136
202144	202172
202180	202208
202216	202244
202248	202276
202280	202304
202312	202336
202340	202364
252144	252180
252184	252216
252224	252252
252260	252288
252296	252324
